Validation,ID,Submission,interwiever_name,type_interview,donor,pdmtype,office,unique_number,not_loc,ben_det_oblast,ben_det_raion,ben_det_hromada,gps_coordinates,not_mpca,not_cash_for_rent,not_cash_for_repair,agree_interviewed,age,sex,status_person,how_many_family,family,did_receive_cash,did_receive_cash_no,cash_repair_type,cash_repair_type_other,register_receive,register_receive_other,assistance_delivered,assistance_delivered_other,satisfied_process,satisfied_process_no,satisfied_cash_amount,how_much_money,how_much_money_yes,time_registered_assistance,experience_problems,experience_problems_yes,assistance_delivered_other_001,know_people_needing,know_people_needing_yes,organization_provide_information,better_inform_distribution,better_inform_distribution_other,rate_quality_assistance,rate_quality_assistance_dis,sectors_cash_assistance,sectors_cash_assistance_other,sectors_cash_assistance_food,sectors_cash_assistance_clothing,sectors_cash_assistance_utilities_heating,sectors_cash_assistance_healthcare,sectors_cash_assistance_hygiene_items,receive_additional,rent_benefit,rent_benefit_no,access_adequate_housing,improve_living,improve_living_other,spent_cash_assistance,spent_cash_assistance_yes,spent_cash_assistance_rent,money_received,money_received_other,assistance_enough,assistance_enough_no,assistance_other_repairs,assistance_other_repairs_yes,assistance_other_repairs_rate,brochure_provided,basic_needs_priorities,living_conditions_interventions,living_conditions_interventions_no,who_assisted,who_assisted_other,issues_regarding_repaired,issues_regarding_repaired_yes,shelter_assistance_return,shelter_assistance_return_no,planning_staying_repaired,planning_staying_repaired_other,planning_staying_repaired_no,square_metres,dwelling_water_proof,access_running_water,access_hot_water,access_washing_facilities,access_sanitation_facilities,access_heating,property_draft_proofing,property_adequately_insulated,property_double_glazed_windows,formal_agreement_landlord,access_external_locked,access-private_space,current_living_space,household_currently_have_clothing,two_weeks_household,receive_shelter_assistance,receive_shelter_assistance_no,needs_community_currently,needs_community_currently_other,any_member_household,any_member_household_yes,provide_someone_commission,provide_someone_commission_yes,provide_someone_commission_yes_other,feel_safe_travelling,feel_safe_travelling_bad,feel_treated_respect,know_address_suggestions,know_address_suggestions_yes,know_address_suggestions_yes_ndnp,know_address_suggestions_yes_ndnp_other,know_address_suggestions_no,know_address_suggestions_no_other,submitted_feedback_complaint,feedback_reporting_channels,feedback_reporting_channels_other,comment,not_thank
,485489087,9/29/2023 5:19:22 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,963861259,,khersonska,khersonskyi,khersonska_2,,,,,yes,65,male,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,no,Усе коштує дуже дорого,no,,,no,,piys,,wacd,,no,,no,Зараз ідуть бойові дії,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485487613,9/29/2023 5:15:24 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,502111151,,khersonska,khersonskyi,khersonska_2,,,,,yes,52,male,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,no,Все коштує дуже дорого,no,,,no,,piys,,wacd,,no,,no,Зараз ідуть бойові дії,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485485069,9/29/2023 5:09:48 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,666713052,,khersonska,khersonskyi,khersonska_2,,,,,yes,59,female,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,no,Все дуже дорого,no,,,no,,piys,,wacd,,no,,no,Ідуть бойові дії,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485482675,9/29/2023 5:04:44 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,509596632,,khersonska,khersonskyi,khersonska_2,,,,,yes,64,male,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будівельні матеріали,no,Все дуже дорого,no,,,no,,piys,,wacd,,no,,no,Зараз там ідуть бойові дії,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485481246,9/29/2023 5:00:40 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,508254160,,khersonska,khersonskyi,khersonska_2,,,,,yes,66,female,yescap,4,4,yes,,rphr,,rrbp,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Будматеріали,no,Все дуже дорого,no,,,no,,piys,,wacd,,no,,no,Житло зараз не придатне до проживання,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485473285,9/29/2023 4:43:40 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,956641469,,khersonska,khersonskyi,khersonska_2,,,,,yes,36,male,yesidp,2,2,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,other,все влаштовує,rtvs,,,,,,,,,,,,,,,,,,other,поки не витрачав,no,"будинок повністю зруйновано, витрат багато",no,,,dnb,,pino,"будинок повністю зруйнован до фундаменту, вивезли сміття",wahd,,no,,no,"будинок повністю зруйнован до фундаменту, мешкаю у батьків",other,"будинок повністю зруйнован до фундаменту, мешкаю у батьків",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485463194,9/29/2023 4:23:56 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,502437735,,khersonska,khersonskyi,khersonska_2,,,,,yes,71,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,оренда житла,yes,,yes,оренда житла,rntf,no,,pino,"нічого не робили, не має здоровя та нікому допомогти",wanb,,no,,,,other,"непридатний до житла, орендуємо житло",,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485461032,9/29/2023 4:19:27 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,668234970,,khersonska,khersonskyi,,,,,,yes,54,female,yesidp,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не робили.,no,"На всі ремонтні роботи, які необхідно провести в домі нам коштів не вистачить.",no,,,yes,,pino,Ми ще не проводили ремонтні роботи.,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tpdw | tpht,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485457250,9/29/2023 4:12:20 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,668399675,,khersonska,khersonskyi,,,,,,yes,63,female,yesidp,2,2,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Очищення будинку від наслідків затоплення.,yes,,no,,,no,,piys,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485454215,9/29/2023 4:06:23 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,994890580,,khersonska,khersonskyi,,,,,,yes,60,female,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,На ліки,no,"Будинок не підлягає для ремонту. Нам потрібно нове житло, але коштів на це нам не вистачає.",yes,На ліки.,rnct,no,,pino,Ремонтні роботи не проводили.,wanb,,no,,,,no,,За станом здоров'я я не зможу відремонтувати свій будинок.,,,,,,,,,,,,,,,,,rsca,,tphs | tpht | other,Ортопедичний матрац. постільна білизна.,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
