id;oblast;raion;hromada;settlement
531388212;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477737;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477762;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477791;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477811;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477825;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531477851;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508076;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508093;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508145;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508160;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508184;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508198;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508211;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508222;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508249;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508294;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508307;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508325;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508350;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508364;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508375;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508389;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508406;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531508420;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
